scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,neighbor_cache_hot_prob,neighbor_cache_cold_prob,neighbor_cache_rank_gamma,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,fallback_mean_response_time_mean,fallback_mean_response_time_std,fallback_mean_response_time_stderr,fallback_mean_response_time_ci95_low,fallback_mean_response_time_ci95_high,fallback_p95_response_time_mean,fallback_p95_response_time_std,fallback_p95_response_time_stderr,fallback_p95_response_time_ci95_low,fallback_p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,local_failure_rate_mean,local_failure_rate_std,local_failure_rate_stderr,local_failure_rate_ci95_low,local_failure_rate_ci95_high,neighbor_attempt_rate_mean,neighbor_attempt_rate_std,neighbor_attempt_rate_stderr,neighbor_attempt_rate_ci95_low,neighbor_attempt_rate_ci95_high,neighbor_skip_rate_mean,neighbor_skip_rate_std,neighbor_skip_rate_stderr,neighbor_skip_rate_ci95_low,neighbor_skip_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_neighbor_choice_rate_mean,b2_neighbor_choice_rate_std,b2_neighbor_choice_rate_stderr,b2_neighbor_choice_rate_ci95_low,b2_neighbor_choice_rate_ci95_high,b2_advantage_vs_b1_mean,b2_fallback_advantage_vs_b1_mean
zipf_alpha_x_cache_gamma,B0,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=0.3,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,0.3,56.1782,0.403066,0.127461,55.928377,56.428023,101.351,0.146572,0.04635,101.260154,101.441846,96.9975,0.034378,0.010871,96.976192,97.018808,103.8615,0.153683,0.048599,103.766246,103.956754,0.55162,0.005507,0.001741,0.548207,0.555033,0.44838,0.005507,0.001741,0.444967,0.451793,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B1,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=0.3,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,0.3,49.2595,0.290797,0.091958,49.079262,49.439738,125.0171,0.23347,0.07383,124.872394,125.161806,81.5681,0.354575,0.112126,81.348332,81.787868,127.8225,0.187027,0.059143,127.70658,127.93842,0.87618,0.002521,0.000797,0.874617,0.877743,0.44838,0.005507,0.001741,0.444967,0.451793,0.44838,0.005507,0.001741,0.444967,0.451793,0.0,0.0,0.0,0.0,0.0,0.27618,0.00606,0.001916,0.272424,0.279936,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B2,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=0.3,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,0.3,48.76,0.295301,0.093382,48.576971,48.943029,123.431,0.127772,0.040405,123.351806,123.510194,80.4541,0.254074,0.080345,80.296624,80.611576,126.4385,0.2143,0.067767,126.305676,126.571324,0.85608,0.002461,0.000778,0.854555,0.857605,0.44838,0.005507,0.001741,0.444967,0.451793,0.38748,0.004927,0.001558,0.384426,0.390534,0.13583,0.004064,0.001285,0.133311,0.138349,0.21427,0.005371,0.001699,0.210941,0.217599,0.86417,0.004064,0.001285,0.861651,0.866689,0.4995,1.114
zipf_alpha_x_cache_gamma,B0,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=0.6,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,0.6,55.9776,0.333845,0.105571,55.770681,56.184519,101.3393,0.100497,0.03178,101.277012,101.401588,97.0099,0.049036,0.015507,96.979507,97.040293,103.8018,0.194736,0.061581,103.681102,103.922498,0.55444,0.004618,0.00146,0.551578,0.557302,0.44556,0.004618,0.00146,0.442698,0.448422,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B1,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=0.6,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,0.6,53.6572,0.566071,0.179007,53.306346,54.008054,126.7357,0.099546,0.031479,126.674001,126.797399,91.7983,0.752987,0.238115,91.331594,92.265006,129.3184,0.097318,0.030775,129.258082,129.378718,0.80104,0.007018,0.002219,0.79669,0.80539,0.44556,0.004618,0.00146,0.442698,0.448422,0.44556,0.004618,0.00146,0.442698,0.448422,0.0,0.0,0.0,0.0,0.0,0.44648,0.012765,0.004037,0.438568,0.454392,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B2,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=0.6,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,0.6,52.3887,0.498542,0.157653,52.079701,52.697699,125.4353,0.186633,0.059018,125.319624,125.550976,88.9518,0.627431,0.198411,88.562915,89.340685,128.1526,0.108176,0.034208,128.085552,128.219648,0.78682,0.007433,0.002351,0.782213,0.791427,0.44556,0.004618,0.00146,0.442698,0.448422,0.36978,0.003386,0.001071,0.367682,0.371878,0.17004,0.007253,0.002294,0.165544,0.174536,0.37159,0.011562,0.003656,0.364424,0.378756,0.82996,0.007253,0.002294,0.825464,0.834456,1.2685,2.8465
zipf_alpha_x_cache_gamma,B0,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=1.0,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,1.0,56.2665,0.515265,0.162941,55.947135,56.585865,101.4622,0.118765,0.037557,101.388589,101.535811,97.0154,0.030841,0.009753,96.996285,97.034515,103.909,0.192566,0.060895,103.789646,104.028354,0.55041,0.006844,0.002164,0.546168,0.554652,0.44959,0.006844,0.002164,0.445348,0.453832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B1,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=1.0,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,1.0,57.0657,0.569089,0.179962,56.712975,57.418425,127.4937,0.113261,0.035816,127.4235,127.5639,98.7925,0.4111,0.130001,98.537698,99.047302,130.2163,0.212555,0.067216,130.084557,130.348043,0.7469,0.005139,0.001625,0.743715,0.750085,0.44959,0.006844,0.002164,0.445348,0.453832,0.44959,0.006844,0.002164,0.445348,0.453832,0.0,0.0,0.0,0.0,0.0,0.56295,0.007005,0.002215,0.558608,0.567292,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B2,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=1.0,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,1.0,54.6817,0.494667,0.156427,54.375102,54.988298,118.5115,4.306954,1.361978,115.842022,121.180978,93.4907,0.158599,0.050154,93.392399,93.589001,124.6906,0.256622,0.081151,124.531544,124.849656,0.64474,0.005171,0.001635,0.641535,0.647945,0.44959,0.006844,0.002164,0.445348,0.453832,0.14554,0.003659,0.001157,0.143272,0.147808,0.67631,0.004288,0.001356,0.673652,0.678968,0.35185,0.008552,0.002704,0.346549,0.357151,0.32369,0.004288,0.001356,0.321032,0.326348,2.384,5.3018
zipf_alpha_x_cache_gamma,B0,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=1.4,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,1.4,56.3547,0.311548,0.09852,56.1616,56.5478,101.3854,0.146745,0.046405,101.294447,101.476353,96.9946,0.041799,0.013218,96.968693,97.020507,103.8261,0.224442,0.070975,103.68699,103.96521,0.54925,0.004787,0.001514,0.546283,0.552217,0.45075,0.004787,0.001514,0.447783,0.453717,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B1,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=1.4,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,1.4,58.6146,0.435342,0.137667,58.344772,58.884428,127.8483,0.120299,0.038042,127.773738,127.922862,102.0071,0.314002,0.099296,101.812479,102.201721,130.365,0.205936,0.065123,130.237359,130.492641,0.72193,0.004734,0.001497,0.718996,0.724864,0.45075,0.004787,0.001514,0.447783,0.453717,0.45075,0.004787,0.001514,0.447783,0.453717,0.0,0.0,0.0,0.0,0.0,0.61688,0.005101,0.001613,0.613719,0.620041,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B2,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=1.4,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,1.4,55.3137,0.363602,0.114981,55.088337,55.539063,103.1861,0.27455,0.08682,103.015932,103.356268,94.6841,0.170356,0.053871,94.578512,94.789688,121.7537,0.444217,0.140474,121.478371,122.029029,0.60549,0.00629,0.001989,0.601591,0.609389,0.45075,0.004787,0.001514,0.447783,0.453717,0.08334,0.002614,0.000827,0.08172,0.08496,0.81506,0.006893,0.00218,0.810788,0.819332,0.3251,0.014974,0.004735,0.315819,0.334381,0.18494,0.006893,0.00218,0.180668,0.189212,3.3009,7.323
zipf_alpha_x_cache_gamma,B0,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=2.0,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,2.0,55.9288,0.338382,0.107006,55.719069,56.138531,101.2589,0.14469,0.045755,101.16922,101.34858,96.9569,0.041794,0.013217,96.930996,96.982804,103.7169,0.18955,0.059941,103.599416,103.834384,0.55476,0.004471,0.001414,0.551989,0.557531,0.44524,0.004471,0.001414,0.442469,0.448011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B1,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=2.0,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,2.0,59.0615,0.498561,0.157659,58.752489,59.370511,127.8893,0.10591,0.033492,127.823656,127.954944,103.9908,0.50504,0.159708,103.677773,104.303827,130.4262,0.175416,0.055471,130.317476,130.534924,0.71033,0.00548,0.001733,0.706934,0.713726,0.44524,0.004471,0.001414,0.442469,0.448011,0.44524,0.004471,0.001414,0.442469,0.448011,0.0,0.0,0.0,0.0,0.0,0.65057,0.008349,0.00264,0.645395,0.655745,0.0,0.0,0.0,0.0,0.0,,
zipf_alpha_x_cache_gamma,B2,10,zipf_alpha_x_cache_gamma,alpha=0.6;gamma=2.0,80.0,0.82,0.82,0.55,0.6,3,5,3,0.9,0.15,2.0,55.1575,0.344356,0.108895,54.944066,55.370934,101.9383,0.187263,0.059218,101.822233,102.054367,95.2236,0.132137,0.041785,95.1417,95.3055,106.4264,0.329988,0.104351,106.221871,106.630929,0.59121,0.004412,0.001395,0.588476,0.593944,0.44524,0.004471,0.001414,0.442469,0.448011,0.05055,0.001285,0.000406,0.049753,0.051347,0.88646,0.002612,0.000826,0.884841,0.888079,0.27895,0.017037,0.005387,0.268391,0.289509,0.11354,0.002612,0.000826,0.111921,0.115159,3.904,8.7672
